"museumid","sitename","vesselname","protected","origin","launchedy","periodc","vesseltype","purpose","propulsion","lengthm","beamm","tonnagebrt","physicaldescription","biography","wrecked","latitude","longitude","locationdescription","shipwreckingcause","shipwreckingy","depthm","toponym","locationtype","storyofshipwrecking","discoveryy","storyofdiscovery","objectsrecovered","text"
54,"Helge","Helge","no","Eesti","1906","20. sajand","aurik","kaubalaev","aurulaev","61.3","9.6","749","Sailinud vrakiosa pikkus ligikaudu 60 m","1906 - ehitamine, Taani 29.08.1941 - laevahukk 2013 - vraki pohjaosa naha aerofotol","yes",58.5953396658046,22.7651630523321,"Triigi laht","pommirunnak",1941,NA,"Triigi laht","laht","Hukkus pommirunnakus Triigi lahes 29.08.1941.a. Peale soda loigati vanarauaks.",NA,"2013. Aastal nahtud laeva pohjaosa aerofotol koordinaatides 58*35,723<U+00B4>N; 22*45,904<U+00B4>E","no","Helge (Nykobing, Petrine Hansen, Geysir, Nordhild, Riga, BT-592), Raj. V -  , kaubaaurik, 749 BRT, ehit. Taanis 1906.a., pikkus 61,3 ja laius 9,6 meetrit, hukkus pommirunnakus Triigi lahes 29.08.1941.a. Peale soda loigati vanarauaks. 2013. Aastal nahtud laeva pohjaosa aerofotol koordinaatides 58*35,723<U+00B4>N; 22*45,904<U+00B4>E Sailinud vrakiosa pikkus ligikaudu 60 meetrit. (A1 lk.65,129, A4 lk.35, Andrus Magi 2013, miramarshipindex)"
2285,"Luga","Luga","no","Saksamaa",NA,"20. sajand","aurik","kaubalaev","aurulaev","95.4","13.6","2391","Turbiinaurik","29.08.1941 - laevahukk 2006 - avastamine","yes",59.7682762483628,25.4650477040754,"Juminda miinivali","miin",1941,NA,"Juminda miinivali","miinivali","Hukkus 29. augustil 1941.a. Juminda miinivaljal.","2006","Leitud 2006. aastal.","no","Luga, Raj. II - , Vene turbiinaurik, 2391 brt, pikkus 95,40 meetrit, laius 13,60 meetrit, hukkus 29. augustil 1941.a. Juminda miinivaljal. Leitud 2006.a. (A1; A324)"
384,"Ize","Ize","no","Venemaa","1894","20. sajand","aurik","kaubalaev","aurulaev","70.7","10.5","1277","Vraki mootmed umbes 75x12m","1894 - ehitamine, Flensburg, Saksamaa 1924 - uleminek vene lipu alla 12.09.1916 - laevahukk","yes",59.624662937435,24.182634006752,"Naissaarest umbes 10 miili W pool","torpeedo",1916,NA,"Naissaar","avameri","Teadaolevalt torpedeeriti 12.09.1916. aastal (Krassgrundi?) lahistel Saksa allveelaeva U-9 poolt.",NA,"Vajab taiendavat uurimist","no","Ize (ex Martha), Raj. III -  , kaubaaurik, ehit. Saksamaal Flensburgis 1894. aastal, 1277 brt. Pikkus 70,7 meetrit, laius 10,5 meetrit. Alates 1924 Vene lipu all. Teadaolevalt torpedeeriti 12.09.1916. aastal (Krassgrundi?) lahistel Saksa allveelaeva U-9 poolt. Arvatavalt asub Naissaarest ca 10 miili W pool koordinaatides 59*37,4550<U+00B4>N; 24*10,9600<U+00B4>E Vraki mootmed ca 75 x 12 m. Vajab taiendavat uurimist. (Mass, Lutt, sonari pildid, foto tagantvaates)"
4149,"Altai","Altai","no","Soome","1920","20. sajand","aurik","kaubalaev","aurulaev","49.3","12","559.9","Uhetekiline kaubalaev","1920 - ehitamine, Soome 04 voi 11.08.1941 - laevahukk","yes",59.055563786855,23.3673827954055,"Vormsi lahistel Voosi kurgus","ohurunnak",1941,NA,"Voosi kurk","vain","Uputatud Vormsi lahistel, Voosi kurgus ohurunnaku tagajarjel",NA,NA,"no","Altai (BT-536), Raj. IV -  , aurik, 1-e tekiline kaubalaev, ehit. 1920 Soomes, 559,90 BRT  L=49,30 m  B=12,00 m  uputati Vormsi lahistel, Voosi kurgus  ohurunnaku tagajarjel (4?)11.08.1941.a. Vrakk vaga purustatud. (A1 lk.124  A4 lk.29  A21 lk.4)"
3143,"Alf","Alf","no","Norra","1906","20. sajand","aurik","kaubalaev","aurulaev","30.45","6.72",NA,"Uhetekiline kaubalaev, komposiitehitus","1906 - ehitamine, Norra 22.09.1941 - laevahukk 2003 - avastamine","yes",NA,NA,"Osmussaare S ots","suurtukituli",1941,NA,"Osmussaar","saarelahedane","Uputati suurtukitulega Osmussaare S otsas 22.09.1941","2003","Soomlaste 2003.a. ekspeditsiooni kaigus leitud jaanused (Harri, Panu, Lauta) identifitseerimata.","no","Alf (ex Rex, Lethafors III), Raj. III -  , aurik,  1-e tekiline kaubalaev, ehit. 1906.a. Norras, 166,49 BRT,  L=30,45 m B=6,72 m, komposiitehitus, uputati suurtukitulega Osmussaare S otsas 22.09.1941.a. Sealt soomlaste 2003.a. ekspeditsiooni kaigus leitud jaanused (Harri, Panu, Lauta) identifitseerimata. (A4 lk.38, A24 lk.4, A127 lk.51, foto, B Team Mare Balticum aruanne 2003.a.)"
569,"Bartava","Bartava","no","Saksamaa","1888","19. sajand","aurik","kaubalaev","aurulaev","58.94","9.11","768",NA,"1888 - ehitamine, Saksamaa 10.08.1941 - laevahukk","yes",NA,NA,"Triigi laht","ohurunnak",1941,NA,"Triigi laht","laht","Hukkus Triigi lahes 10.08.1941 lennurunnaku tagajarjel.",NA,"Leidmata","no","Bartava (ex Ulla, Fohr), Raj. V -  , aurik, kaubalaev, 768 BRT, ehit. 1888.a. Saksamaal. L=58,94 m, B=9,11 m. Hukkus Triigi lahes 10.08.1941.a. lennurunnaku tagajarjel. Leidmata. (A1 lk.124, A4 lk.29)"
276,"Eestirand","Eestirand","no","Sotimaa","1910","20. sajand","aurik","kaubalaev","aurulaev","114.8","15.9","4443.6",NA,"1910 - ehitamine 24.8.1941 - laevahukk 1946 - lammutamine","lammutatud",59.4633191347527,24.7204136879229,"Paljassaare rand","pommirunnak",1941,NA,"Paljassaare","rannikulahedane","Soitis 24.08.1941.a.pommirunnaku tagajarjel vigastatuna kinni Prangli saare idarannikule, kust laeva vrakk 1946.a. Tallinna toodi ja puruks loigati.",NA,"Vraki identifitseerimata pohjaosa Paljassaare rannas.","no","Eestirand (ex Strathardle, Harold Dollar, Glenbeath), Raj. II - , aurik, kaubalaev, ehit. 1910 ?otimaal, 4443,6 BRT, L=114,8 m  B=15,9 m, soitis 24.08.1941.a.pommirunnaku tagajarjel vigastatuna kinni Prangli saare idarannikule, kust laeva vrakk 1946.a. Tallinna toodi ja puruks loigati. Vraki identifitseerimata pohjaosa Paljassaare rannas. (A1 lk.81-83,124,125, A4 lk.31, foto)"
658,"Elbing I","Elbing I","no","Saksamaa","1893","19. sajand","aurik","kaubalaev","aurulaev","50","8.44","466",NA,"1893 - ehitamine, Saksamaa 09.10.1944 - lennurunnak, pukseerimine, millele jargnes plahvatus ja laevahukk 28.07.2014 - sonariotsingud","yes",57.8388541528509,21.9043094053236,"Arvatavasti S pool Sorvemaad","ohurunnak",1944,NA,"Sorve","poolsaar","Pommitati Vene lennukitelt 9.10.1944.a. lahenemisel Montu sadamale, ahter purunenud, polenud, pealisehitused purustatud. Raskelt vigastatud laeva uritati pukseerida Montu reidile, kuid plahvatas.",NA,"Arvatav hukukoht merekaardil S pool Sorvemaad (?). Vrakki otsis Mare 2014.a. merekspeditsiooni kaigus 28.juulil, kuid ei leidnud midagi.","no","Elbing I (ex Fintel, Fritz, Reichel),  Raj. VI -  , aurik, kaubalaev, ehit. 1893 Saksamaal,  466 BRT, L=50.10 m  B=8,44 m, pommitati Vene lennukitelt 9.10.1944.a. lahenemisel Montu sadamale, ahter purunenud, polenud, pealisehitused purustatud. Raskelt vigastatud laeva uritati pukseerida Montu reidile, kuid plahvatas. Arvatav hukukoht merekaardil S pool Sorvemaad (?). Vrakki otsis Mare 2014.a. merekspeditsiooni kaigus 28.juulil, kuid ei leidnud midagi. (A76, A92 lk.345, A438, Morozov)"
2263,"Ella sojavaetransport BT-530","Ella sojavaetransport BT-530","no","Eesti",NA,"20. sajand","aurik","kaubalaev","aurulaev","75.97","11.43","1523",NA,"28.08.1941 - laevahukk, Juminda miinivali","yes",59.7671598009629,25.2799469490459,"Juminda miinivalja laaneserv","miin",1941,NA,"Juminda miinivali","miinivali","Laks 28. augustil 1941. aastal Juminda miinivalja W serval miinile ja uppus. Hukkus koos kapten Erich Lepniga 602 inimest.",NA,NA,"no","Ella, sojavaetransport BT-530, Raj. II -   , aurik, Eesti kaubalaev, 1523 brt, pikkus 75,97 meetrit, laius 11,43 meetrit, laks 28. augustil 1941. aastal Juminda miinivalja W serval miinile ja uppus. Hukkus koos kapten Erich Lepniga 602 inimest. Fikseeritud asukoht: 59*46,057<U+00B4>N; 25*16,796<U+00B4>E. (A1; A324)"
2267,"Ergonautis","Ergonautis","no","Eesti",NA,"20. sajand","aurik","kaubalaev","aurulaev","36.66","6.87","205",NA,"28.08.1941 - laevahukk, Juminda miinivali 2008 - leidmine","yes",59.8060095959497,25.3149690153898,"Juminda miinivali","miin",1941,NA,"Juminda miinivali","miinivali","Hukkus 28. augustil 1941.a. Juminda miinivaljal. Hukkus 300 inimest.","2008","Leitud Meremuuseumi poolt 2008.a.","no","Ergonautis, Raj. II - , Eesti aurik, kaubalaev, 205 brt, pikkus 36,66 meetrit, laius 6,87 meetrit, hukkus 28. augustil 1941.a. Juminda miinivaljal. Hukkus 300 inimest. Leitud Meremuuseumi poolt 2008.a. koordinaatides 59*46,090<U+00B4>N; 25*27,940<U+00B4>E. (A1; A324)"
2433,"Everita","Everita","no","Lati",NA,"20. sajand","aurik","kaubalaev","aurulaev","102.11","14.16","3251",NA,"28.08.1941 - laevahukk, Juminda miinivali","yes",NA,NA,"Juminda miinivali",NA,1941,NA,"Juminda miinivali","miinivali","Hukkus Juminda miinivaljal 28.08.1941",NA,"Leidmata","yes","Everita, Raj. II -  , Lati aurik, kaubalaev, 3251 brt, pikkus 102,11 meetrit, laius 14,16 meetrit. Hukkus miinil Juminda miinivaljal 28. augustil 1941.a. Ohvrite arv 1550. Leidmata. (A1; A324 paasteronga fragment Meremuuseumis)"
2434,"Everolanda","Everolanda","no","Lati",NA,"20. sajand","aurik","kaubalaev","aurulaev",NA,NA,"3379",NA,"5.-6.07.1941 - laevahukk","yes",NA,NA,"Kundast N pool","miin",1941,NA,"Kunda","rannikulahedane","Hukkus Kundast N pool 5.-6. juulil 1941. aastal Soome allveelaeva “Vetehinen” pandud miinitokkel.",NA,NA,"no","Everolanda, Raj. II -  , Lati aurik, kaubalaev, 3379 brt, pikkus     , laius      , hukkus Kundast N pool 5.-6. juulil 1941. aastal Soome allveelaeva “Vetehinen” pandud miinitokkel. (A1)"
2438,"Gamma","Gamma","no","Inglismaa","1901","20. sajand","aurik","kaubalaev","aurulaev","56.39","8.89","696",NA,"1901 - ehitamine, Inglismaa 27.08.1941 - uputamine 1944 - ules tostmine","ules tostetud",NA,NA,"Uputamine Vanasadama kai aares. Hiljem ules tostetud","uputamine",1941,NA,"Tallinna Vanasadam","sadam","Uputati venelaste poolt Vanasadama kai aares 27.08.1941.a. Tosteti ules 1944.a.",NA,NA,"no","Gamma (ex Brilliant), Raj. II -  , aurik, kaubalaev, ehit. Inglismaal 1901.a., 696 BRT  L=56,39 m  B=8,89 m, uputati venelaste poolt Vanasadama kai aares  27.08.1941.a. Tosteti ules 1944.a. (A1 lk.94,126, A4  lk.32, foto)"
571,"Glagol","Glagol","no","Saksamaa","1906","20. sajand","aurik","kaubalaev","aurulaev","88.81","13.41","2613",NA,"1906 - ehitamine, Saksamaa 05.10.1917 - uputamine Slava faarvaatri tokestamiseks 1921 - ulestostmine, umbernimetamine: Este 1931 - muuk Itaaliasse. Umbernimetamine: Etruria 22.12.1942 - laevahukk","yes",NA,NA,"Turreeni meri","uputamine",1942,NA,"Turreeni meri",NA,"Uputati Vainamerre nn. Slava faarvaatri tokestamiseks 05.10.1917.a. Asukoht teadmata. Ules tostetud 1921.a ja umber nimetatud Esteks. 1931.a. muudi Itaaliasse ja nimetati umber Etruria<U+00B4>ks. Uputati inglaste poolt Turreenimeres 22.12.1942.a.",NA,NA,"no","Glagol (ex Eger), Raj. V -  , aurik, kaubalaev, ehit. 1906.a. Saksamaal, 2613 BRT, L=88,81 m  B=13,41 m,   uputati Vainamerre nn. Slava faarvaatri tokestamiseks 05.10.1917.a. Asukoht teadmata. Ules tostetud 1921.a ja umber nimetatud Esteks. 1931.a. muudi Itaaliasse ja nimetati umber Etruria<U+00B4>ks. Uputati inglaste poolt Turreenimeres 22.12.1942.a.(A8 lk.444, A37 lk.301 A369)"
490,"Hiiula","Hiiula","no","Eesti","1882","20. sajand","aurik","kaubalaev","aurulaev","44.05","7.12","349.66",NA,"1882 - ehitamine, Inglismaa 13.09.1941 - laevahukk","yes",59.0122279045364,22.7542987793299,"Kardla reid","pommirunnak",1941,NA,"Kardla","sadamalahedane","Uputati pommirunnaku tagajarjel Kardla reidil 13.09.1941.",NA,NA,"yes","Hiiula (ex Aviateur, Relli, BT-594), Raj. IV -  , aurik, kaubalaev 349,66 BRT, ehit. 1882 Inglismaal, L=44,05 m  B=7,12 m, uputati pommirunnaku tagajarjel Kardla reidil 13.09.1941.a. Osaliselt loigatud vanarauaks, osaliselt sailinud. (merekaardil, A2 lk.187, A4 lk.37, foto)"
497,"Houtdijk","Houtdijk","no","Holland","1902","20. sajand","aurik","kaubalaev","aurulaev","92.4","13.2","2313",NA,"1902 - ehitamine, West Hartlepooli laevatehas, Inglismaa 20.08.1914 - laevahukk","yes",59.3995290712138,22.8000786517333,"Tahkunast umbes 19 miili NNE poole","miin",1914,NA,"Tahkuna","avameri","Hukkus 20.08.1914.a. teekonnal Petrogradist Rotterdami Saksa miinil. Hukkus 14 meremeest.",NA,"Leidmata","no","Houtdijk (ex Drumbain), Raj. IV - , Hollandi kaubalaev, 2313 brt, mootudega 92,4 x 13,2 x 6,1 meetrit, ehit. Inglismaal, West Hartlepooli laevatehases 1902.a., hukkus 20.08.1914.a. teekonnal Petrogradist Rotterdami Saksa miinil koordinaatides ca 59*24<U+00B4>N; 22*48<U+00B4>E Tahkunast ca 19 miili NNE poole. Hukkus 14 meremeest. Leidmata."
4182,"Kent","Kent","no","Inglismaa","1855","19. sajand","aurik","kaubalaev","aurulaev",NA,NA,"935",NA,"1855 - ehitamine 13.10.1872 - laevahukk","yes",NA,NA,"Laevahukk Hiiumadalal. Praegune asukoht teadmata",NA,1872,NA,"Hiiu madal","madal","Hukkus Hiiumadalal 13.10.1872. Asukoht teadmata.",NA,"Asukoht teadmata","no","Kent (ex Tejo), Raj. IV -  , inglise aurik, 935 BRT, ehit.1855.a, kaubalaev, hukkus Hiiumadalal 13.10.1872. Asukoht teadmata. (A89 lk.23, A288 lk.532, A317)"
4150,"Kosmos","Kosmos","no","Rootsi","1898","19. sajand","aurik","kaubalaev","aurulaev","31.47","6.98","244.36",NA,"1898 - ehitamine, Goteborg, Rootsi 25.08.1941 - laevahukk","yes",59.0415818173208,23.4068186063596,"Voosi kurk","torm",1941,NA,"Voosi kurk","vain","Hukkus tormis Voosi kurgus 25.08.1941.a",NA,"Leidmata","no","Kosmos Raj. IV -  , aurik, kaubalaev, ehit. Goteborgis 1898.a. 244,36 BRT  L=31,47 m  B=6,98 m, hukkus tormis Voosi kurgus 25.08.1941.a. Jaanused leidmata. (A1 lk.124  A4 lk.31)"
