"id","year","season","month","date_begin","date_end","date_begin_long","category","category_code","category_2","category_3","category_4","category_extra","description_original","description_comment","location","country"
"A336",1862,"winter","12","15","15","1862-12-15","1:1:5:4:, 1:1:4:4:","1:1:5:4:","weather description","wind strength","storm (>bf7)",NA,"Das vom gestrigen Nord-West-Sturme zerbrochene Eis treibt jetzt massenhaft nach der See hinaus, so daß unser Hafen wieder für längere Zeit der Schifffahrt zugänglich bleiben wird. ",NA,"lv:ml:ri:bolderaja:","lv"
"G0167",1898,"spring","5","10","10","1898-05-10","1:1:5:4:, 1:2:1:","1:1:5:4:","weather description","wind strength","storm (>bf7)","1:1:5:4:schiffsinkt, 1:2:1:todesopfer_2","Am 10. Mai fuhren Ingenieure der Maschinenfabrik von Felser in Gesellschaft einiger junger Leute, deren Namen noch nicht festgestellt worden find, zehn Personen an der Zahl, in zwei Böten über den Slintsee. wobei die Böte vom Sturm umgeworfen wurden. Die Insassen fielen ins Wasser, vermochten sich jedoch zu retten, bis auf zwei Ingenieure: den 23 Jahre alten Ernst Braun und den 26 Jahre alten Max Reichmann, welche verschwanden und wahrscheinlich ertranken.",NA,"lv:ml:riga:","lv"
"C795",1824,"winter","12","1","2","1824-12-01","1:1:5:4:","1:1:5:4:","weather description","wind strength","storm (>bf7)","1:1:5:4:stark",NA,"1.-2.detsembri ööl algas äge torm ja tõstis jõe vee väga kõrgeks – 7-12 jalga. 2.detsembri lõunaks tuul pöördus ja vesi alanes","lv:ml:riga:","lv"
"G0713",1874,"autumn","11","25","25","1874-11-25","1:1:5:4:, 1:1:4:1:, 1:1:4:2:, 1:2:1:","1:1:5:4:","weather description","wind strength","storm (>bf7)","1:1:5:4:sehrstark, 1:2:1:gebäude_bäume, 1:2:1:tiere",NA,NA,"lv:wl:ventspils:","lv"
"G0668",1879,"spring","5","18","19","1879-05-18","1:1:5:4:, 1:2:1:	","1:1:5:4:","weather description","wind strength","storm (>bf7)","1:1:5:4:sehrstark,  1:2:1:dächer_bäume","Am 18 u.- 19 d. M. wüthete hier ein orkanähnlicher Sturm, der bedeutenden Schaden angerichtet.",NA,"lv:wl:ku:","lv"
"C704",1822,"autumn","11","12","12","1822-11-12","1:1:5:4:, 1:1:4:5:, 1:1:4:4:","1:1:5:4:","weather description","wind strength","storm (>bf7)",NA,NA,"12.novembril torm NNW ja Dagerorti juures murdlained üle teki","ee:we:hiiumaa:kõpu:","ee"
"F2843",1885,"spring","4","1","1","1885-04-01","1:1:5:4:","1:1:5:4:","weather description","wind strength","storm (>bf7)","1:1:5:4:stark","Laiuselt. [...] Nagu see rahva seas moodiks on võetud 1.aprillil üksteist petta, nõnda sellega, et 1.aprillil lund suure tormiga maha sadas ja sellega kõikide meeled nuraks jäivad.",NA,"ee:h:me:laiuse:","ee"
"C1019",1834,"autumn","10","8","8","1834-10-08","1:1:5:4:, 1:1:4:5:, 1:1:4:4:","1:1:5:4:","weather description","wind strength","storm (>bf7)","1:1:5:4:stark",NA,"tugev NNW torm","ee:we:la:paldiski:","ee"
"C669",1822,"spring","4","27","27","1822-04-27","1:1:5:3:, 1:1:4:7:","1:1:5:3:","weather description","wind strength","strong breeze (bf6, bf7)",NA,NA,"26.-.30.aprill O tuul ziemlich; 27.aprillil tormine","lv:ml:riga:","lv"
"B160",1847,"autumn","10",NA,NA,"1847-10-NA","1:1:5:2:","1:1:5:2:","weather description","wind strength","moderate breeze (<bf6)",NA,"Oct. 1847: ein sehr schlechter October meißt trübe und Regen sehr selten heitre Tage, und sehr windig",NA,"ee:ne:tallinn:","ee"
"G0614",1874,"autumn","9","25","25","1874-09-25","1:1:5:3:, 1:1:4:1:","1:1:5:3:","weather description","wind strength","strong breeze (bf6, bf7)",NA,NA,NA,"lv:sl:jelgava:        ","lv"
"G0079",1893,"summer","8","5","5","1893-08-05","1:1:5:4:","1:1:5:4:","weather description","wind strength","storm (>bf7)","1:1:5:4:heftig","Donnerstag den 5. August herrschte am Nachmittag ein heftiger Sturm. ",NA,"lv:wl:riga:","lv"
"A340",1863,"autumn","11","29","29","1863-11-29","1:1:5:4:, 1:1:4:5:, 1:1:4:4:","1:1:5:4:","weather description","wind strength","storm (>bf7)","1:1:5:4:stark","In der vergangenen Nacht wehte hier ein furchtbarer Sturm aus NNW., von Regen und Hagelschauern begleitet, wobei der Wasserstand  anf die ungewöhnliche Höhe von 18 Fuß Holl, getrieben wurde.",NA,"lv:ml:ri:bolderaja:","lv"
"F3359",1897,"summer","6","26","26","1897-06-26","1:1:2:8:","1:1:2:8:","weather description","precipitation","thunderstorm",NA,"26.junil s.a. löönud pikne Laitseni valla Koroli talu põlema. Teras olnud korstna kõrval, kust pikne sisse löönud, lapse häll, mis kohe põlema hakanud. Õnneks jäänud laps vigata. [arvatavasti Laitsna- Rogasi Võrumaal (vald Rõuges.)]",NA,"ee:h:we:nissi:laitse:","ee"
"F2221",1864,"summer","6","26","31","1864-06-26","1:1:3:1:, 1:1:2:8:","1:1:3:1:","weather description","air temperature","warm","1:1:3:1:eher_warm, 1:1:2:8:viele","Üldine iseloomustus Liivimaa põllumajandusest 1864. aastal. ... Im Juni außerordentlich warme und schöne Witterung. Die heftigen Gewitter am Ende des Juni. Mitunter von orkanähnlichen Stürme und Hagelwetter begleitet, gingen bald in eine unterbrochene Regenperiode über, welche erst im October von den hereinbrechenden Frösten geschlossen wurde, und der bald darauf folgende Schneefall stellte dann ungewöhnlich früh – bereits im Anfange des November, die Schlittenbahn fest. (Rukis märjalt kokku, suvivili ei saanud küpseks, varajane öökülm rikkus kohati, erti äpardus kartulisaak (Schloß – Ringenschen /Suure-Rõngu/ Gemeinde väga suured rahe kahjustused. Nr. 28 – Eestimaa viljasaagist kõneleb saake, mis Liiviomaa eri kurdab loomatoidu nappusest, kartulisaagi äpardumist (suurte sadude tagajärjel)",NA,"ee:h:li:","ee"
"F3392",1898,"summer","6","15","15","1898-06-15","1:1:2:8:","1:1:2:8:","weather description","precipitation","thunderstorm",NA,"aus Peterhof: der Roggen blüte um den 30. Mai. Aus Oldbrück: die häufigen Niederschläge (und zwar am 23 Mai strömenden Regen; 1. Juni, 6. Juni, und 7. Juni Strichregen; 11 Juni kleiner Regen; 15 Juni und 18. Juni Gewitter mit Blazregen) waren…",NA,"ee:we:sa:saaremaa:sorveps:","ee"
"B181",1860,"summer","7","14",NA,"1860-07-14","1:1:5:4:, 1:2:1:","1:1:5:4:","weather description","wind strength","storm (>bf7)","1:2:1:bäume",NA,"14. juulil 1860. aasta torm murdis Lükatil umbes 200 mändi. Pääsküla metsas purustas telefoniliinid","ee:ne:tallinn:","ee"
"G0401",1884,NA,"10","16","17","1884-10-16","1:1:5:4:, 1:2:1:","1:1:5:4:","weather description","wind strength","storm (>bf7)","1:2:1:bäume, 1:2:1:gebäude","Am 16. und 17. October hatten wir einen 24-stündigen furchtbaren Sturm, der Bäume entwurzelte und manchen Schaden an Gebäuden verursachte",NA,"lv:wl:ai:","lv"
"G0034",1892,"winter","1","18","18","1892-01-18","1:1:5:4:, 1:2:1:","1:1:5:4:","weather description","wind strength","storm (>bf7)","1:2:1:schiffsinkt","Der Steinprahm ging im Schlepp des Bugsirdampfers „Murman"" um 11 Uhr Vormittags in See, um Steine auf dem in Bau begriffenen Wellenbrecher aufzuschütten. Es befanden sich 23 Arbeiter an Bord. AIs die Fahrzeuge die Molen passirt hatten brach infolge des hohen Seeganges das Tau und auch ein zweites Tau erlitt dasselbe Schicksal. Der Prahm warf darauf die Anker aus, kam aber stark ins Treiben. Mittlerweile war die steife Brise zum Sturm angeschwollen und die 23 Leute geriethen in Lebensgefahr. Herr Lootsenkommardeur G. Inge, der vom Leuchtthurm aus die Noth der Leute erkannt hatte, traf sofort Anstalten zur Rettung. (...) Mit viel Mühe und Gefahr wurden 12 Mann in das Boot geborgen, mit denen dann der Rückzug zum Hafen angetreten wurde, der bei den furchtbaren Sturzseen nur mit außerordentlicher Vorsicht und Geschicklichkeit bewerkstelligt werden konnte. Als der Dampfer zwischen die Molen belangte, befand das Boot sich fast in sinkendem Zustande. Ein zweites Mal mit dem Boot hinauszugehen war absolut unmöglich. Der Prahm strandete gegen 11 Uhr Nachts und jetzt wurde es möglich, die noch übrigen 11 Mann mit einem leichten Boot und Stangen im Laufe einer Stunde an Land zu bringen. ",NA,"lv:wl:liepaja:","lv"
"F3403",1898,"autumn","9","4","4","1898-09-04","1:2:1:, 1:1:5:4:, 1:1:4:5:","1:2:1:","meteorological impacts","storm impact","storm impact","1:2:1:opfer, 1:1:5:4:extrem, 1:2:1:opfer, 1:1:5:4:extrem","Palmsest. 3.skp. ja ööse 3 ja 4.skp. vahel puhus väga kange maru põhjatuul. […] [Palju kahjustusi, hulk inimohvreid jne.] [Seesama teade Läänemaalt. …]",NA,"ee:we:la:,  ee:we:la:,  ee:h:ne:kadrina:palmse:manor:","ee"
"G0202",1899,"autumn","11","16","17","1899-11-16","1:1:5:4:","1:1:5:4:","weather description","wind strength","storm (>bf7)","1:1:5:4:schwer; 1:1:4:4:; 1:1:2:1:schifffahrt","Es bläst heute wieder gewaltig aus Nordwest, sodaß die Bark „Koop Handel"" am Wiemsschen Strande noch immer nicht der Expertise unterzogen werden kann. Dem Capitän gelang es gestern, während der Sturm etwas nachgelassen hotte, sein Schiff auf dem Brigittenschen Rettungsboote wieder zu erreichen. Aus Hochland sind heute von: gestrandeten Panzerschiff „Admiral Apraxin"" keine Nachrichten eingetroffen. Bei nordwestlichem Winde hat das gestrandete Schiff einen, verlhältnißmäßig günstigen Stand, nur dürfte der hohe Seegang die Bergungsarbeit stark behindern, wenn, nicht unmöglich machen. Der Kreuzer „Gromoboi"" ist, wie wir vermutheten, ohne Schaden davongekommen. Die „Now. Wr."" berichtet darüber: „Am 15. November Mittags traf der Kreuzer „Gromoboi"", der auf dem Wege nach Kronstadt mit dem Kiel des Vorderschiffes auf eine Sandbank aufgelaufen war, in Kronstadt ein. Der „Gromoboi"" saß über zwei Tage auf der Sandbank fest, dann aber stieg das Wasser und der Kreuzer konnte glücklich ohne fremde Hilfe abkommen und Kronstadt erreichen. Heute gegen 12 Uhr Mittags wurde von der Scharenbergscheu Rettungsstation aus eine Brigg mit zerrissenen Segeln in die Revalsche Bucht treibend bemerkt. Als ein Versuch neue Vordersegel auszusetzen, fehlschlug, wurde die Notflagge gehißt. Sofort ging das Rettungsboot, ein sehr seetüchtiges Fahrzeug, unter Segeln in See und erreichte glücklich die gefährdete Brigg, die inzwischen Anker geworfen hatte. Da diese hielten, blieb die Mannschaft an Bord und lehnte die Hülfe des Rettungsbootes ab, das daraus wohlbehalten, nur mit gründlich durchnäßter Bemannung, zur Rettungsstation zurück kehrte. ",NA,"ee:ne:viimsi, bs:gf:","ee"
"C1015",1834,"autumn","10","1","3","1834-10-01","1:1:5:3:, 1:1:4.5:, 1:1:4:6:","1:1:5:3:","weather description","wind strength","strong breeze (bf6, bf7)","1:1:5:3:stark",NA,"teade Tallinnast 21.Sept. (3.okt.) 3 öödpäeva on möllanud väga tugevad N-NNE tuuled (erakorralise tugevusega) aga on heameel teatada, et siin läheduses pole olnud laevaõnnetusi","ee:ne:tallinn:","ee"
"G0714",1875,"spring","4","10","10","1875-04-10","1:1:5:4:, 1:2:1:","1:1:5:4:","weather description","wind strength","storm (>bf7)","1:2:1:dächer, 1:2:1:fenster",NA,NA,"lv:ol:da:daugavpils:","lv"
"G0642",1876,"summer","7","2","2","1876-07-02","1:1:5:4:, 1:2:1:","1:1:5:4:","weather description","wind strength","storm (>bf7)","1:2:1:schiffsinkt","Der deutsche Dampfer „Minister Achenbach"" ist bei dem gestrigen Sturm über alle Sandbänke hinüber geworfen und liegt jetzt hinter dem neuen Seedämm im ruhigen Wasser auf Sandgrund.",NA,"lv:ml:ri:bolderaja:","lv"
"G0217",1880,"summer","7","23","23","1880-07-23","1:1:2:8:","1:1:2:8:","weather description","precipitation","thunderstorm","1:1:2:8:stark","(Ein sehr starkes Gewitter) entlud sich in der vorigen Nacht zwischen 1 und 3 Uhr über Riga und Umgegend",NA,"lv:ml:riga:","lv"
"G0465",1886,NA,"1","21","21","1886-01-21","1:1:5:3:, 1:1:4:2:","1:1:5:3:","weather description","wind strength","strong breeze (bf6, bf7)",NA,"heute Sturm aus S.W",NA,"lv:wl:liepaja:","lv"
"G0300",1882,NA,"9","11","11","1882-09-11","1:1:5:3:, 1:1:4:6:, 1:1:4:7:","1:1:5:3:","weather description","wind strength","strong breeze (bf6, bf7)",NA,"Heute Sturm von ONO",NA,"lv:wl:liepaja:","lv"
"B200",1857,"spring","3","6","6","1857-03-06","1:1:2:7:","1:1:2:7:","weather description","precipitation","hail",NA,"Das Wetter ist schön, am Morgen meist warm und klar, am Abend gewöhnlich etwas Regen, am 3 (März) sollen wir sogar scho.n ein Gewitter gehabt haben, am 6.. (März), um Mittagszeit hagelt es. Das Embachwasser steigt und hat niedrige Straβen überschwemmt –","Tartu kirjasaatja.","ee:se:tartu:","ee"
"G0585",1870,"spring","5","8","8","1870-05-08","1:1:5:3:, 1:1:4:2:","1:1:5:3:","weather description","wind strength","strong breeze (bf6, bf7)",NA,NA,NA,"lv:sl:jelgava:","lv"
"F3361",1897,"summer","6","3","3","1897-06-03","1:1:2:8:","1:1:2:8:","weather description","precipitation","thunderstorm",NA,"Kavastust. 3.junil lõi pikne Koosa küla lähedal oleva Suure- söödi talu elumaja põlema.",NA,"ee:se:ta:","ee"
"G0073",1893,"summer","6","12","12","1893-06-12","1:4:4:1:, 1:1:5:4:, 1:2:1:","1:4:4:1:","natural hazards","fire hazards","forest fire","1:2:1:bäume","Die Brandfläche war beim Eintreffen des Försters ungefähr 1/2 Quadratwerst groß, denn der am 12. Juni herrschende Sturm trieb das Feuer schnell vor fich her; bald nach dem örtlichen Förster traf der Katlakalnsche Gemeindeälteste mit circa 10 Mann ein, um auch sofort thätige Beihilfe zu leisten. Das Feuer hatte sich mittlerweile getheilt und drang auf zwei parallel laufenden Flüchen von circa 300 Schritt Breite zur Lubahnschen Straße hin vor. Auf dem linken Flügel wurde das Feuer, weil es eine unmittelbare Gefahr sogar für die Stadt selbst werden konnte, zunächst energisch bekämpft (...). Zur gleicher Zeit waren auf der rechten Seite des Feuers unter Leitung zweier Buschwächter und deren Gehilfen 5—6 Stadtpächter und 20 Mann vom Gute Stubbensee bemüht, nach Möglichkeit ein weiteres Vordringen des Feuers zu verhindern. Nachdem der linke Flügel soweit abgelöscht, daß ein weiterer Fortschritt des Feuers hier nicht mehr zu befürchten war, führte der Forstmeister die ihm hier zur Disposition stehenden Mannschaften auf die Lubahnsche Straße, wo unter deß bereits Beamte der Stadtpolizei eingetroffen waren. (...) Gegenfeuer sind nicht allein an der Lubahnschen Straße, sondern auch zu beiden Seiten des Feuers entfacht worden und bieten dieselben, wie ich zur Beruhigung des Herrn R. Pfeiffer bemerken will, das wirksamste Mittel, um größere Waldbrände zu bekämpfen. ",NA,"lv:ml:ri:dreilinmuizas:","lv"
"G0393",1884,NA,"10","6","6","1884-10-06","1:1:5:4:, 1:1:4:5:, 1:1:4:6:","1:1:5:4:","weather description","wind strength","storm (>bf7)","1:2:1:schiffsinkt, 1:1:5:4:stark","Heute Morgen bei starkem NNO-Sturm strandete das kurländische Boot „Anne Greete"", mit Brennholz beladen, auf der Westbank",NA,"lv:ml:ri:bolderaja:","lv"
"G0468",1886,NA,"3","19","19","1886-03-19","1:1:5:4:, 1:1:4:3:","1:1:5:4:","weather description","wind strength","storm (>bf7)",NA,"Ein Sturm aus Westen und ein Regen von oberhalb haben das Wasser wohl gehoben, aber nicht ans seinen Normalstand",NA,"lv:wl:liepaja:","lv"
"E050",1862,"summer","7","18","18","1862-07-18","1:1:5:5:, 1:2:1:","1:1:5:5:","weather description","wind strength",NA,"1:2:1:wald_gebäude",NA,"74ha Wald und Gebäude zerstört. Ein Bauer wird mit Pferd wird über das Feld geweht","ee:se:po:tilsi:,   ee:l:vagula:","ee"
"G0609",1874,"summer","8","20","20","1874-08-20","1:1:5:4:, 1:1:4:3:","1:1:5:4:","weather description","wind strength","storm (>bf7)",NA,NA,NA,"lv:sl:jelgava:        ","lv"
"C615",1820,"summer","8","8","8","1820-08-08","1:1:5:3:, 1:1:2:8:, 1:2:1:","1:1:5:3:","weather description","wind strength","strong breeze (bf6, bf7)","1:2:1:opfer_1","ein dritter Fall ereignete sich in Dorpat. Dicht am Flusse und an der Grenze einer morastigen Fläche, wurde ein hölzernes Haus, das niedriger als ein anderes mit Stein gedecktes, nebenstehendes Haus war, am 8-ten August vom Blitze getroffen. Eine mächtige Feuermasse fuhr über dasselbe, wie auch über den Fluß herab herab, worauf ein heftiger Schlag, doch kein imgewöhnlicher, folgte. Die Wolken waren schnell gekommen, standen sehr niedrig, und ein heftiger Sturm und Platzregen ließen den Nachwohenden kaum die Nähe des Schauplatzes der Verwüstung vermuthen. Ganze Wassermassen schienen zu stüzzen und wenden gleichsam nur vom Sturme zerstiebt. Der Blitz war in den Schornstein gefahren, theils am Dache,und ein Ofen waren zersplittert, im Zimmer auch die Wände, Fenster, und darauf stehende Blumentopfe. Hier ist der seltnere Fall eingetreten, daß der Blitz und der Feuermauer und zu den Oefen sich ausbreitete, da er sonst öfters von Schonstein am Dache zu der Seitenwänden des Hauses herabfährt. Dieser Fall erinnert uns an die früher schon gekannmte Regel, sich bei schweren Gewitter von Fenstern, Oefen und Wänden entfernt zu halten. Eine Frau wurde bei dieser Gelegenheit erschlagen, und zwei heraus, als der Todeschlag sie trat",NA,"ee:se:tartu:","ee"
"C635",1820,"winter","12","8","8","1820-12-08","1:1:5:4:, 1:1:4:1:, 1:1:4:2:","1:1:5:4:","weather description","wind strength","storm (>bf7)","1:1:5:4:stark",NA,"8.detsembril tuul WSW hommikul Naissaare juures. Algas uus lumetuisuga torm SSW kuni kella 6 õhtul laev Naissaare ja Aegna vahel. Kell 8 õhtul lendav torm SSW-st. Rahe ja lumesadu. Kell 9 õhtul tuul järsku N, ilm selgines ja laeval nähti tulesid","ee:ne:ha:aegna:,  ee:ne:ha:naissaar:","ee"
"F2314",1867,"summer","7","19","19","1867-07-19","1:1:2:8:, 1:2:3:","1:1:2:8:","weather description","precipitation","thunderstorm","1:2:3:gebäude","Tartust. Pitkekahjo. Kui saddused nüüd iggapääv ilmad on, näevad põllumehhed õlekadu isegi ","(Otepää kihlk. “Arrela” mõisas karjalaudad ja põlluküün maha põlenud ja Otepää kirikumõisas inimesi uimaseks löönud. 7. juunil ja 19. juulil","ee:se:va:otepaa:","ee"
"K007",1862,"summer","7","11","11","1862-07-11","1:1:5:4:","1:1:5:4:","weather description","wind strength","storm (>bf7)","1:1:5:4:schiffsinkt","von heftigem Sturm und schwerer See zu leiden",NA,"ee:we:saaremaa:","ee"
"G0717",1875,"summer","8","16","16","1875-08-16","1:1:5:4:, 1:2:1:","1:1:5:4:","weather description","wind strength","storm (>bf7)","1:1:5:4:stark, 1:2:1:schiffsinkt",NA,NA,"ee:we:ruhnu:","ee"
"F3118",1889,"summer","8","7","7","1889-08-07","1:1:2:8:","1:1:2:8:","weather description","precipitation","thunderstorm",NA,"Tallinnast. Öösel pühapäeva ja esmaspäeva vahel  (6.ja7..VIII vahel) sadas palju vihma, homiku kellu ½ 8 müristas järsku üks kord  tugevasti. See üks piksehoog on Rottermanni hoovis mõned töömehed vigastanud ja  Simonis kiriku ligidal  Shirardsi kuuri juures ühe töömehe vigaseks teinud ja ühe  puuposti lõhkunud.",NA,"ee:ne:tallinn:","ee"
"G0596",1873,"autumn","10","2","2","1873-10-02","1:1:5:3:, 1:1:4:2:","1:1:5:3:","weather description","wind strength","strong breeze (bf6, bf7)",NA,NA,NA,"lv:sl:jelgava:        ","lv"
"F2876",1885,"summer","7","1","1","1885-07-01","1:1:2:8:","1:1:2:8:","weather description","precipitation","thunderstorm",NA,"Tartu ligikonnast. 1. Heinakuu õhtul lõi pikne Luunja põlendiku talu põlema. [1 karjapoisike sai surma, teine vigastada. Kogu majakraam põles sisse.]",NA,"ee:h:se:ta:tartu-maarja:luunja:","ee"
"C713",1822,"autumn","11","26","27","1822-11-26","1:1:5:4:, 1:1:4:7:, 1:1:4:8:","1:1:5:4:","weather description","wind strength","storm (>bf7)",NA,NA,"26.nov. tuul tormin; – 27.nov. tuul OSO, tormine","ee:we:parnu:","ee"
"F3090",1889,"spring","5","18","18","1889-05-18","1:1:2:8:","1:1:2:8:","weather description","precipitation","thunderstorm",NA,"Virumaalt. Risti päeval 18.mail lõi pikne Laekvere  vallas Roometi talu aknast sisse, purustas akna ruudud ja viskas ühe noore mehe, kes  akna lähikonnas püsti seisis, pikali. Hobune rehe all sai vigastatud, kaevu sammas ja  vinn hoopis ära pilbastatud. (Sama valla Pahmanni talus lõhkus sama pikne kiviaia ja  loopis  laiali.)",NA,"ee:h:ne:simuna:laekvere:","ee"
"F2714",1882,"spring","5","29","29","1882-05-29","1:1:2:8:, 1:2:3:","1:1:2:8:","weather description","precipitation","thunderstorm","1:2:3:todesopfer_1","Kodaso vallas Kuusalu kihelkonnas lõi pitkne 29-mal Mail 7 aastase poisi maha... [surnuks].",NA,"ee:h:ne:kuusalu:","ee"
"F2475",1872,"spring","4","10","10","1872-04-10","1:1:2:8:","1:1:2:8:","weather description","precipitation","thunderstorm",NA,"Perno maakonnast. Mürristamine. [Sindi vabrikust]. 10 aprillil olli meil taevas pilves ja villo hommiku tuul. Pärrast lõunat kuuldi mitmeid mürristamise hobid põhja ja hommiko pool külges taeva all. Õhto kelo 9 ja 10 ajal ajas pilv mürristamise ja laialise välgulömisega lõuna ja õhto vahhelt üllesse. ...(Edasi vihm, kui müristamine oli lõppenud)",NA,"ee:h:se:pa:tori:sindi:","ee"
"F2818",1884,"summer","6","23","23","1884-06-23","1:1:2:8:","1:1:2:8:","weather description","precipitation","thunderstorm",NA,"Mustjalast. Mööda läinud Jaani pääva õhtul on üks Mustjala mõisa valla mees 22 aastat vana, kes Ulemaale kevade tööle läinud, senna välgust surnuks löödud.",NA,"ee:h:we:mustjala:","ee"
