"id","year","season","month","date_begin","date_end","category","category_extra","location","description_original","description_comment","country","category_main"
"F3233",1892,"summer","8","3","3","1:1:2:8:",NA,"ee:h:se:pa:",NA,"Torist. [Pikne on seal Hobelinna talusse loonud ja korstna ning ahju taiesti kildudeks lohkunud, 3 lammast maja seina aares surmanud kuid tulekahju mitte pohjustanud.]","ee","1:1:2"
"F3158",1890,"summer","8","14","14","1:1:2:8:",NA,"ee:ne:tallinn:",NA,"[Valgus No 34, 16.aug. teatab sama, kuid et muristamine ja vihmasadu olid 14.aug. ohtul.]","ee","1:1:2"
"G0676",1879,"winter","12","13","14","1:1:5:4:","1:1:5:4:stark, 1:2:1:gebaude","lv:wl:liepaja:","In der Nacht vom 13. auf den 14. December tobte hier bei unS ein wuthender, orkanartiger Sturm in der Richtung von NN W nach SS O. Von nennenswerthen Beschadigungen welche dieser Sturm in der Stadt selbst angerichtet, sind uns, au<U+00DF>er der Meldung uber eine in den Badeanlagen umgefallene 50 Fu<U+00DF> lange Brandmauer, bis jetzt keinerlei weitere zugegangen.",NA,"lv","1:1:5"
"A336",1862,"winter","12","15","15","1:1:5:4:",NA,"lv:ml:ri:bolderaja:","Das vom gestrigen Nord-West-Sturme zerbrochene Eis treibt jetzt massenhaft nach der See hinaus, so da<U+00DF> unser Hafen wieder fur langere Zeit der Schifffahrt zuganglich bleiben wird. ",NA,"lv","1:1:5"
"G0167",1898,"spring","5","10","10","1:1:5:4:","1:1:5:4:schiffsinkt, 1:2:1:todesopfer_2","lv:ml:riga:","Am 10. Mai fuhren Ingenieure der Maschinenfabrik von Felser in Gesellschaft einiger junger Leute, deren Namen noch nicht festgestellt worden find, zehn Personen an der Zahl, in zwei Boten uber den Slintsee. wobei die Bote vom Sturm umgeworfen wurden. Die Insassen fielen ins Wasser, vermochten sich jedoch zu retten, bis auf zwei Ingenieure: den 23 Jahre alten Ernst Braun und den 26 Jahre alten Max Reichmann, welche verschwanden und wahrscheinlich ertranken.",NA,"lv","1:1:5"
"C795",1824,"winter","12","1","2","1:1:5:4:","1:1:5:4:stark","lv:ml:riga:",NA,"1.-2.detsembri ool algas age torm ja tostis joe vee vaga korgeks – 7-12 jalga. 2.detsembri lounaks tuul poordus ja vesi alanes","lv","1:1:5"
"G0713",1874,"autumn","11","25","25","1:1:5:4:","1:1:5:4:sehrstark, 1:2:1:gebaude_baume, 1:2:1:tiere","lv:wl:ventspils:",NA,NA,"lv","1:1:5"
"G0668",1879,"spring","5","18","19","1:1:5:4:","1:1:5:4:sehrstark,  1:2:1:dacher_baume","lv:wl:ku:","Am 18 u.- 19 d. M. wuthete hier ein orkanahnlicher Sturm, der bedeutenden Schaden angerichtet.",NA,"lv","1:1:5"
"C704",1822,"autumn","11","12","12","1:1:5:4:",NA,"ee:we:hiiumaa:kopu:",NA,"12.novembril torm NNW ja Dagerorti juures murdlained ule teki","ee","1:1:5"
"F2843",1885,"spring","4","1","1","1:1:5:4:","1:1:5:4:stark","ee:h:me:laiuse:","Laiuselt. [...] Nagu see rahva seas moodiks on voetud 1.aprillil uksteist petta, nonda sellega, et 1.aprillil lund suure tormiga maha sadas ja sellega koikide meeled nuraks jaivad.",NA,"ee","1:1:5"
"C1019",1834,"autumn","10","8","8","1:1:5:4:","1:1:5:4:stark","ee:we:la:paldiski:",NA,"tugev NNW torm","ee","1:1:5"
"C669",1822,"spring","4","27","27","1:1:5:3:",NA,"lv:ml:riga:",NA,"26.-.30.aprill O tuul ziemlich; 27.aprillil tormine","lv","1:1:5"
"B160",1847,"autumn","10",NA,NA,"1:1:5:2:",NA,"ee:ne:tallinn:","Oct. 1847: ein sehr schlechter October mei<U+00DF>t trube und Regen sehr selten heitre Tage, und sehr windig",NA,"ee","1:1:5"
"G0614",1874,"autumn","9","25","25","1:1:5:3:",NA,"lv:sl:jelgava:        ",NA,NA,"lv","1:1:5"
"G0079",1893,"summer","8","5","5","1:1:5:4:","1:1:5:4:heftig","lv:wl:riga:","Donnerstag den 5. August herrschte am Nachmittag ein heftiger Sturm. ",NA,"lv","1:1:5"
"A340",1863,"autumn","11","29","29","1:1:5:4:","1:1:5:4:stark","lv:ml:ri:bolderaja:","In der vergangenen Nacht wehte hier ein furchtbarer Sturm aus NNW., von Regen und Hagelschauern begleitet, wobei der Wasserstand  anf die ungewohnliche Hohe von 18 Fu<U+00DF> Holl, getrieben wurde.",NA,"lv","1:1:5"
"F3359",1897,"summer","6","26","26","1:1:2:8:",NA,"ee:h:we:nissi:laitse:","26.junil s.a. loonud pikne Laitseni valla Koroli talu polema. Teras olnud korstna korval, kust pikne sisse loonud, lapse hall, mis kohe polema hakanud. Onneks jaanud laps vigata. [arvatavasti Laitsna- Rogasi Vorumaal (vald Rouges.)]",NA,"ee","1:1:2"
"F2221",1864,"summer","6","26","31","1:1:3:1:","1:1:3:1:eher_warm, 1:1:2:8:viele","ee:h:li:","Uldine iseloomustus Liivimaa pollumajandusest 1864. aastal. ... Im Juni au<U+00DF>erordentlich warme und schone Witterung. Die heftigen Gewitter am Ende des Juni. Mitunter von orkanahnlichen Sturme und Hagelwetter begleitet, gingen bald in eine unterbrochene Regenperiode uber, welche erst im October von den hereinbrechenden Frosten geschlossen wurde, und der bald darauf folgende Schneefall stellte dann ungewohnlich fruh – bereits im Anfange des November, die Schlittenbahn fest. (Rukis marjalt kokku, suvivili ei saanud kupseks, varajane ookulm rikkus kohati, erti apardus kartulisaak (Schlo<U+00DF> – Ringenschen /Suure-Rongu/ Gemeinde vaga suured rahe kahjustused. Nr. 28 – Eestimaa viljasaagist koneleb saake, mis Liiviomaa eri kurdab loomatoidu nappusest, kartulisaagi apardumist (suurte sadude tagajarjel)",NA,"ee","1:1:3"
"F3392",1898,"summer","6","15","15","1:1:2:8:",NA,"ee:we:sa:saaremaa:sorveps:","aus Peterhof: der Roggen blute um den 30. Mai. Aus Oldbruck: die haufigen Niederschlage (und zwar am 23 Mai stromenden Regen; 1. Juni, 6. Juni, und 7. Juni Strichregen; 11 Juni kleiner Regen; 15 Juni und 18. Juni Gewitter mit Blazregen) waren…",NA,"ee","1:1:2"
"B181",1860,"summer","7","14",NA,"1:1:5:4:","1:2:1:baume","ee:ne:tallinn:",NA,"14. juulil 1860. aasta torm murdis Lukatil umbes 200 mandi. Paaskula metsas purustas telefoniliinid","ee","1:1:5"
"G0401",1884,NA,"10","16","17","1:1:5:4:","1:2:1:baume, 1:2:1:gebaude","lv:wl:ai:","Am 16. und 17. October hatten wir einen 24-stundigen furchtbaren Sturm, der Baume entwurzelte und manchen Schaden an Gebauden verursachte",NA,"lv","1:1:5"
"G0034",1892,"winter","1","18","18","1:1:5:4:","1:2:1:schiffsinkt","lv:wl:liepaja:","Der Steinprahm ging im Schlepp des Bugsirdampfers „Murman"" um 11 Uhr Vormittags in See, um Steine auf dem in Bau begriffenen Wellenbrecher aufzuschutten. Es befanden sich 23 Arbeiter an Bord. AIs die Fahrzeuge die Molen passirt hatten brach infolge des hohen Seeganges das Tau und auch ein zweites Tau erlitt dasselbe Schicksal. Der Prahm warf darauf die Anker aus, kam aber stark ins Treiben. Mittlerweile war die steife Brise zum Sturm angeschwollen und die 23 Leute geriethen in Lebensgefahr. Herr Lootsenkommardeur G. Inge, der vom Leuchtthurm aus die Noth der Leute erkannt hatte, traf sofort Anstalten zur Rettung. (...) Mit viel Muhe und Gefahr wurden 12 Mann in das Boot geborgen, mit denen dann der Ruckzug zum Hafen angetreten wurde, der bei den furchtbaren Sturzseen nur mit au<U+00DF>erordentlicher Vorsicht und Geschicklichkeit bewerkstelligt werden konnte. Als der Dampfer zwischen die Molen belangte, befand das Boot sich fast in sinkendem Zustande. Ein zweites Mal mit dem Boot hinauszugehen war absolut unmoglich. Der Prahm strandete gegen 11 Uhr Nachts und jetzt wurde es moglich, die noch ubrigen 11 Mann mit einem leichten Boot und Stangen im Laufe einer Stunde an Land zu bringen. ",NA,"lv","1:1:5"
"F3403",1898,"autumn","9","4","4","1:2:1:","1:2:1:opfer, 1:1:5:4:extrem, 1:2:1:opfer, 1:1:5:4:extrem","ee:we:la:,  ee:we:la:,  ee:h:ne:kadrina:palmse:manor:","Palmsest. 3.skp. ja oose 3 ja 4.skp. vahel puhus vaga kange maru pohjatuul. […] [Palju kahjustusi, hulk inimohvreid jne.] [Seesama teade Laanemaalt. …]",NA,"ee","1:2:1"
"G0202",1899,"autumn","11","16","17","1:1:5:4:","1:1:5:4:schwer; 1:1:4:4:; 1:1:2:1:schifffahrt","ee:ne:viimsi, bs:gf:","Es blast heute wieder gewaltig aus Nordwest, soda<U+00DF> die Bark „Koop Handel"" am Wiemsschen Strande noch immer nicht der Expertise unterzogen werden kann. Dem Capitan gelang es gestern, wahrend der Sturm etwas nachgelassen hotte, sein Schiff auf dem Brigittenschen Rettungsboote wieder zu erreichen. Aus Hochland sind heute von: gestrandeten Panzerschiff „Admiral Apraxin"" keine Nachrichten eingetroffen. Bei nordwestlichem Winde hat das gestrandete Schiff einen, verlhaltni<U+00DF>ma<U+00DF>ig gunstigen Stand, nur durfte der hohe Seegang die Bergungsarbeit stark behindern, wenn, nicht unmoglich machen. Der Kreuzer „Gromoboi"" ist, wie wir vermutheten, ohne Schaden davongekommen. Die „Now. Wr."" berichtet daruber: „Am 15. November Mittags traf der Kreuzer „Gromoboi"", der auf dem Wege nach Kronstadt mit dem Kiel des Vorderschiffes auf eine Sandbank aufgelaufen war, in Kronstadt ein. Der „Gromoboi"" sa<U+00DF> uber zwei Tage auf der Sandbank fest, dann aber stieg das Wasser und der Kreuzer konnte glucklich ohne fremde Hilfe abkommen und Kronstadt erreichen. Heute gegen 12 Uhr Mittags wurde von der Scharenbergscheu Rettungsstation aus eine Brigg mit zerrissenen Segeln in die Revalsche Bucht treibend bemerkt. Als ein Versuch neue Vordersegel auszusetzen, fehlschlug, wurde die Notflagge gehi<U+00DF>t. Sofort ging das Rettungsboot, ein sehr seetuchtiges Fahrzeug, unter Segeln in See und erreichte glucklich die gefahrdete Brigg, die inzwischen Anker geworfen hatte. Da diese hielten, blieb die Mannschaft an Bord und lehnte die Hulfe des Rettungsbootes ab, das daraus wohlbehalten, nur mit grundlich durchna<U+00DF>ter Bemannung, zur Rettungsstation zuruck kehrte. ",NA,"ee","1:1:5"
"C1015",1834,"autumn","10","1","3","1:1:5:3:","1:1:5:3:stark","ee:ne:tallinn:",NA,"teade Tallinnast 21.Sept. (3.okt.) 3 oodpaeva on mollanud vaga tugevad N-NNE tuuled (erakorralise tugevusega) aga on heameel teatada, et siin laheduses pole olnud laevaonnetusi","ee","1:1:5"
"G0714",1875,"spring","4","10","10","1:1:5:4:","1:2:1:dacher, 1:2:1:fenster","lv:ol:da:daugavpils:",NA,NA,"lv","1:1:5"
"G0642",1876,"summer","7","2","2","1:1:5:4:","1:2:1:schiffsinkt","lv:ml:ri:bolderaja:","Der deutsche Dampfer „Minister Achenbach"" ist bei dem gestrigen Sturm uber alle Sandbanke hinuber geworfen und liegt jetzt hinter dem neuen Seedamm im ruhigen Wasser auf Sandgrund.",NA,"lv","1:1:5"
"G0217",1880,"summer","7","23","23","1:1:2:8:","1:1:2:8:stark","lv:ml:riga:","(Ein sehr starkes Gewitter) entlud sich in der vorigen Nacht zwischen 1 und 3 Uhr uber Riga und Umgegend",NA,"lv","1:1:2"
"G0465",1886,NA,"1","21","21","1:1:5:3:",NA,"lv:wl:liepaja:","heute Sturm aus S.W",NA,"lv","1:1:5"
"G0300",1882,NA,"9","11","11","1:1:5:3:",NA,"lv:wl:liepaja:","Heute Sturm von ONO",NA,"lv","1:1:5"
"B200",1857,"spring","3","6","6","1:1:2:7:",NA,"ee:se:tartu:","Das Wetter ist schon, am Morgen meist warm und klar, am Abend gewohnlich etwas Regen, am 3 (Marz) sollen wir sogar scho.n ein Gewitter gehabt haben, am 6.. (Marz), um Mittagszeit hagelt es. Das Embachwasser steigt und hat niedrige Stra<U+03B2>en uberschwemmt –","Tartu kirjasaatja.","ee","1:1:2"
"G0585",1870,"spring","5","8","8","1:1:5:3:",NA,"lv:sl:jelgava:",NA,NA,"lv","1:1:5"
"F3361",1897,"summer","6","3","3","1:1:2:8:",NA,"ee:se:ta:","Kavastust. 3.junil loi pikne Koosa kula lahedal oleva Suure- soodi talu elumaja polema.",NA,"ee","1:1:2"
"G0073",1893,"summer","6","12","12","1:4:4:1:","1:2:1:baume","lv:ml:ri:dreilinmuizas:","Die Brandflache war beim Eintreffen des Forsters ungefahr 1/2 Quadratwerst gro<U+00DF>, denn der am 12. Juni herrschende Sturm trieb das Feuer schnell vor fich her; bald nach dem ortlichen Forster traf der Katlakalnsche Gemeindealteste mit circa 10 Mann ein, um auch sofort thatige Beihilfe zu leisten. Das Feuer hatte sich mittlerweile getheilt und drang auf zwei parallel laufenden Fluchen von circa 300 Schritt Breite zur Lubahnschen Stra<U+00DF>e hin vor. Auf dem linken Flugel wurde das Feuer, weil es eine unmittelbare Gefahr sogar fur die Stadt selbst werden konnte, zunachst energisch bekampft (...). Zur gleicher Zeit waren auf der rechten Seite des Feuers unter Leitung zweier Buschwachter und deren Gehilfen 5—6 Stadtpachter und 20 Mann vom Gute Stubbensee bemuht, nach Moglichkeit ein weiteres Vordringen des Feuers zu verhindern. Nachdem der linke Flugel soweit abgeloscht, da<U+00DF> ein weiterer Fortschritt des Feuers hier nicht mehr zu befurchten war, fuhrte der Forstmeister die ihm hier zur Disposition stehenden Mannschaften auf die Lubahnsche Stra<U+00DF>e, wo unter de<U+00DF> bereits Beamte der Stadtpolizei eingetroffen waren. (...) Gegenfeuer sind nicht allein an der Lubahnschen Stra<U+00DF>e, sondern auch zu beiden Seiten des Feuers entfacht worden und bieten dieselben, wie ich zur Beruhigung des Herrn R. Pfeiffer bemerken will, das wirksamste Mittel, um gro<U+00DF>ere Waldbrande zu bekampfen. ",NA,"lv","1:4:4"
"G0393",1884,NA,"10","6","6","1:1:5:4:","1:2:1:schiffsinkt, 1:1:5:4:stark","lv:ml:ri:bolderaja:","Heute Morgen bei starkem NNO-Sturm strandete das kurlandische Boot „Anne Greete"", mit Brennholz beladen, auf der Westbank",NA,"lv","1:1:5"
"G0468",1886,NA,"3","19","19","1:1:5:4:",NA,"lv:wl:liepaja:","Ein Sturm aus Westen und ein Regen von oberhalb haben das Wasser wohl gehoben, aber nicht ans seinen Normalstand",NA,"lv","1:1:5"
"E050",1862,"summer","7","18","18","1:1:5:5:","1:2:1:wald_gebaude","ee:se:po:tilsi:,   ee:l:vagula:",NA,"74ha Wald und Gebaude zerstort. Ein Bauer wird mit Pferd wird uber das Feld geweht","ee","1:1:5"
"G0609",1874,"summer","8","20","20","1:1:5:4:",NA,"lv:sl:jelgava:        ",NA,NA,"lv","1:1:5"
"C615",1820,"summer","8","8","8","1:1:5:3:","1:2:1:opfer_1","ee:se:tartu:","ein dritter Fall ereignete sich in Dorpat. Dicht am Flusse und an der Grenze einer morastigen Flache, wurde ein holzernes Haus, das niedriger als ein anderes mit Stein gedecktes, nebenstehendes Haus war, am 8-ten August vom Blitze getroffen. Eine machtige Feuermasse fuhr uber dasselbe, wie auch uber den Flu<U+00DF> herab herab, worauf ein heftiger Schlag, doch kein imgewohnlicher, folgte. Die Wolken waren schnell gekommen, standen sehr niedrig, und ein heftiger Sturm und Platzregen lie<U+00DF>en den Nachwohenden kaum die Nahe des Schauplatzes der Verwustung vermuthen. Ganze Wassermassen schienen zu stuzzen und wenden gleichsam nur vom Sturme zerstiebt. Der Blitz war in den Schornstein gefahren, theils am Dache,und ein Ofen waren zersplittert, im Zimmer auch die Wande, Fenster, und darauf stehende Blumentopfe. Hier ist der seltnere Fall eingetreten, da<U+00DF> der Blitz und der Feuermauer und zu den Oefen sich ausbreitete, da er sonst ofters von Schonstein am Dache zu der Seitenwanden des Hauses herabfahrt. Dieser Fall erinnert uns an die fruher schon gekannmte Regel, sich bei schweren Gewitter von Fenstern, Oefen und Wanden entfernt zu halten. Eine Frau wurde bei dieser Gelegenheit erschlagen, und zwei heraus, als der Todeschlag sie trat",NA,"ee","1:1:5"
"C635",1820,"winter","12","8","8","1:1:5:4:","1:1:5:4:stark","ee:ne:ha:aegna:,  ee:ne:ha:naissaar:",NA,"8.detsembril tuul WSW hommikul Naissaare juures. Algas uus lumetuisuga torm SSW kuni kella 6 ohtul laev Naissaare ja Aegna vahel. Kell 8 ohtul lendav torm SSW-st. Rahe ja lumesadu. Kell 9 ohtul tuul jarsku N, ilm selgines ja laeval nahti tulesid","ee","1:1:5"
"F2314",1867,"summer","7","19","19","1:1:2:8:","1:2:3:gebaude","ee:se:va:otepaa:","Tartust. Pitkekahjo. Kui saddused nuud iggapaav ilmad on, naevad pollumehhed olekadu isegi ","(Otepaa kihlk. “Arrela” moisas karjalaudad ja pollukuun maha polenud ja Otepaa kirikumoisas inimesi uimaseks loonud. 7. juunil ja 19. juulil","ee","1:1:2"
"K007",1862,"summer","7","11","11","1:1:5:4:","1:1:5:4:schiffsinkt","ee:we:saaremaa:","von heftigem Sturm und schwerer See zu leiden",NA,"ee","1:1:5"
"G0717",1875,"summer","8","16","16","1:1:5:4:","1:1:5:4:stark, 1:2:1:schiffsinkt","ee:we:ruhnu:",NA,NA,"ee","1:1:5"
"F3118",1889,"summer","8","7","7","1:1:2:8:",NA,"ee:ne:tallinn:","Tallinnast. Oosel puhapaeva ja esmaspaeva vahel  (6.ja7..VIII vahel) sadas palju vihma, homiku kellu <U+00BD> 8 muristas jarsku uks kord  tugevasti. See uks piksehoog on Rottermanni hoovis moned toomehed vigastanud ja  Simonis kiriku ligidal  Shirardsi kuuri juures uhe toomehe vigaseks teinud ja uhe  puuposti lohkunud.",NA,"ee","1:1:2"
"G0596",1873,"autumn","10","2","2","1:1:5:3:",NA,"lv:sl:jelgava:        ",NA,NA,"lv","1:1:5"
"F2876",1885,"summer","7","1","1","1:1:2:8:",NA,"ee:h:se:ta:tartu-maarja:luunja:","Tartu ligikonnast. 1. Heinakuu ohtul loi pikne Luunja polendiku talu polema. [1 karjapoisike sai surma, teine vigastada. Kogu majakraam poles sisse.]",NA,"ee","1:1:2"
"C713",1822,"autumn","11","26","27","1:1:5:4:",NA,"ee:we:parnu:",NA,"26.nov. tuul tormin; – 27.nov. tuul OSO, tormine","ee","1:1:5"
"F3090",1889,"spring","5","18","18","1:1:2:8:",NA,"ee:h:ne:simuna:laekvere:","Virumaalt. Risti paeval 18.mail loi pikne Laekvere  vallas Roometi talu aknast sisse, purustas akna ruudud ja viskas uhe noore mehe, kes  akna lahikonnas pusti seisis, pikali. Hobune rehe all sai vigastatud, kaevu sammas ja  vinn hoopis ara pilbastatud. (Sama valla Pahmanni talus lohkus sama pikne kiviaia ja  loopis  laiali.)",NA,"ee","1:1:2"
"F2714",1882,"spring","5","29","29","1:1:2:8:","1:2:3:todesopfer_1","ee:h:ne:kuusalu:","Kodaso vallas Kuusalu kihelkonnas loi pitkne 29-mal Mail 7 aastase poisi maha... [surnuks].",NA,"ee","1:1:2"
"F2475",1872,"spring","4","10","10","1:1:2:8:",NA,"ee:h:se:pa:tori:sindi:","Perno maakonnast. Murristamine. [Sindi vabrikust]. 10 aprillil olli meil taevas pilves ja villo hommiku tuul. Parrast lounat kuuldi mitmeid murristamise hobid pohja ja hommiko pool kulges taeva all. Ohto kelo 9 ja 10 ajal ajas pilv murristamise ja laialise valgulomisega louna ja ohto vahhelt ullesse. ...(Edasi vihm, kui muristamine oli loppenud)",NA,"ee","1:1:2"
"F2818",1884,"summer","6","23","23","1:1:2:8:",NA,"ee:h:we:mustjala:","Mustjalast. Mooda lainud Jaani paava ohtul on uks Mustjala moisa valla mees 22 aastat vana, kes Ulemaale kevade toole lainud, senna valgust surnuks loodud.",NA,"ee","1:1:2"
"G0087",1893,"winter","12","19","19","1:1:5:4:","1:1:5:4:schifffahrt","lv:wl:liepaja:","(Ein mi<U+00DF>gluckter kindlicher RettungS versuch) versetzte am vorigen Sonntag die betheiligten erwachsenen Personen in nicht geringe Aufregung. Ein etwa siebenjahriger Knabe spielte in einem am Hafenquai befestigten Boot und lost« beim Spielen das Tau des Bootes. Kaum war das Boot frei, so erfa<U+00DF>te es der Sturm, der am vorigen Sonntag besonders heftig wuthete. und trieb das leichte Fahrzeug, in dem sich nicht einmal Ruder befanden, mit dem jammernden kleinen Insassen den Hafen hinab und dem Libauschen See zu. Ein tapferer kleiner Spielgefahrte des Davontreibenden wollte ihm zu Hulfe eilen, sprang in ein Boot, ergriff die Ruder und begann nun verzweifelt gegen Wind und Wetter anzukampfen; doch vergebens, der klein? Retter erlag demselben Schicksal. wie sein Kamerad: steuerlos trieben die beiden Bote vor dem tobenden Sturm in den kleinen See hinein. Zur rechten Zeit wurde daS Verschwinden der Kinder noch von deren Angehorigen bemerkt. welche sofort mit Hilfe von Fischern und Arbeitern alle erdenklichen Nachsorschungen anstellten und nach einiger Zeit auch glucklich die beiden Knaben, ganz erstarrt von Wind und Kalte am jenseitigen Seeufer in ihren Boten auffanden. ",NA,"lv","1:1:5"
"G0293",1882,NA,"5","29","29","1:1:5:4:","1:1:5:4:sehrstark, 1:2:1:gebaude_baume","lv:ml:cv:","Im Setzwegenschen Kircshpiele hat am 29. Mai en ungeheurer Sturm von Sudost gewuthet, der, wie der ""Balt. Semk."" berichtet, Baume glatt abgebrochen, die Strohdacher verwustet",NA,"lv","1:1:5"
"G0615",1874,"autumn","10","10","11","1:1:5:4:",NA,"lv:sl:jelgava:        ",NA,NA,"lv","1:1:5"
"F2825",1884,"summer","7","9","9","1:1:5:4:","1:1:5:4:stark, 1:2:1:dacher_baume, 1:2:1:ernte","ee:h:me:kodavere:",NA,"Tartumaakonnast. Kodaverest. [9.juunil kell 9 algas aikesevihm, suure tuulega jne. Mis purustas katuseid, puid jm. Ning sadu tegi poldudesse kuni 10 jala laiusi kraave uhtudes ara nii seemne kui ka mulla...] [","ee","1:1:5"
"F3304",1894,"autumn","11","29","29","1:1:2:8:",NA,"ee:we:sa:saaremaa:kuressaare:","Kuresaarest. Oosel 28/29. Nov. heitis siin valku ja ka muristamist oli kuulda. 3.detsembril hakkas siin tubliste kulmetama ja 4.hakkas juba maad lumega katma. …",NA,"ee","1:1:2"
"G0654",1877,"summer","8","28","28","1:1:5:4:","1:1:5:4:sehrstark","ee:we:hiiumaa:ristna:","orkanartiger Sturm",NA,"ee","1:1:5"
"G0050",1892,"autumn","11","27","27","1:1:5:4:",NA,"lv:wl:du:kokasrags:","Der russische Gaffelschooner ""Alfred"" mit Ballast nach Riga bestimmt, hat bei Domesnaes einen Anker und 45 Faden seiner Kette verloren. In Folge des Nord-Ost Sturmes konnte das Schiff Riga nicht erreichen und lief heute in unsern Hafen ein",NA,"lv","1:1:5"
"C703",1822,"autumn","11","12","12","1:1:5:4:",NA,"ee:we:ruhnu:",NA,"12.nov. peilisid Ruhnot, tuul WSW – tormine, oosel pimeduses kokkuporge teise laevaga","ee","1:1:5"
"G0656",1877,"winter","12","11","12","1:1:5:4:","1:1:5:4:schwer","lv:wl:riga:","schwerer Sturm aus Suden",NA,"lv","1:1:5"
"F2721",1882,"summer","6","22","22","1:1:2:8:","1:2:3:blitzschlag_brande, 1:2:1:gebaude, 1:2:3:todesopfer","ee:h:me:kodavere:kodavere:","Kodaverest teatakse meile, et saal 22.juulil pikne Alatskivi moonamehe maja polema loonud. Mehe naene jaanud sisse, kuna naese ode hadaga pastetud saanud.",NA,"ee","1:1:2"
"F2863",1885,"summer","6","15","15","1:1:2:8:",NA,"ee:se:vo:","Voru poolt kirjutatakse meile, seal ei olevat loikuse lootused mitte nii vaga halvad. Paari nadalalise poua jarel tulnud Jaanipaeval vihma ja vili kasvavat ilusaste, ehk kull heinasaak hasti kasinam olevat, kui mullu aastal.- 15.juunil saanud Pindi- Jaani kiriku torn pikse sisse loomise labi vigastatud ning kahju olevat umbes 200 rubla suur.",NA,"ee","1:1:2"
"C948",1829,"autumn","10","13","15","1:1:5:4:","1:1:5:4:stark","ee:ne:tallinn:",NA,"inglise laev valjus 29.septembril (u.k.) teisipaeval Londonist sihtkohaga Peterburi. 13.oktoobril Pakerordi lahistel, tugev torm ja pilves ilm. Ohtul jouti Naissaare reidile sest tugeva tuule tottu ei suudetud umber saare purjetada. 14.okt. maratsev torm, oli tegu laeva kinnitamisega. 15.okt. torm maratses edasi, laev vallandus ja torm ajas Telliskopli ranna lahistel","ee","1:1:5"
"F2717",1882,"spring","5","29","29","1:2:1:","1:2:1:gebaude, 1:2:3:blitzschlag_gebaude, 1:2:3:todesopfer_2","ee:h:we:saaremaa:karla:somera","Saaremaalt. [Kolmanda Nelipuhi- paeva ohtul Somera kulas loi majjo tappis 9- aastase poisi ja tema 20-se oe, maja ja ka maal maja polesid korega maha.]",NA,"ee","1:2:1"
